1778905326.902718667	wlan0	7121803731	6059675	1257197325	2890414
1778905328.081729137	wlan0	7121803935	6059678	1257197568	2890417
1778905329.241606273	wlan0	7121806674	6059714	1257294690	2890506
1778905330.464817681	wlan0	7121808410	6059747	1257337808	2890539
1778905331.669502499	wlan0	7121808410	6059747	1257337902	2890540
1778905332.957462656	wlan0	7121808586	6059749	1257351778	2890554
1778905334.133955886	wlan0	7121811918	6059812	1257477564	2890649
1778905335.340983804	wlan0	7121812022	6059813	1257477638	2890650
1778905336.560541930	wlan0	7121812022	6059813	1257477806	2890652
1778905337.748622296	wlan0	7121814362	6059857	1257615782	2890756
1778905338.923670395	wlan0	7121814550	6059859	1257615954	2890758
1778905340.101588808	wlan0	7121814824	6059863	1257616106	2890760
1778905341.265811152	wlan0	7121815344	6059872	1257657030	2890794
1778905342.470506283	wlan0	7121817144	6059905	1257754406	2890868
1778905343.690242821	wlan0	7121817300	6059907	1257754598	2890870
1778905344.846619306	wlan0	7121817456	6059909	1257754884	2890873
1778905346.041148343	wlan0	7121819880	6059954	1257892880	2890977
1778905347.235931183	wlan0	7121820056	6059957	1257893126	2890980
1778905348.462236444	wlan0	7121820200	6059959	1257893126	2890980
1778905349.657176133	wlan0	7121821300	6059980	1257988108	2891053
1778905350.874072618	wlan0	7121822230	6059998	1258031132	2891085
1778905352.065931473	wlan0	7121822302	6059999	1258031132	2891085
1778905353.249225380	wlan0	7121822302	6059999	1258031132	2891085
