1778905326.876209475	cpu  1575736 389809 2230664 65941229 18305 622707 185667 0 534 0
1778905326.876209475	cpu0 278421 84435 526097 7569392 3655 309824 42932 0 109 0
1778905326.876209475	cpu1 310099 84268 495347 7728376 3748 144368 30287 0 94 0
1778905326.876209475	cpu2 222941 54435 305365 8218937 3085 39358 28893 0 102 0
1778905326.876209475	cpu3 224563 52695 310943 8220203 2963 39158 24254 0 124 0
1778905326.876209475	cpu4 235557 53829 322477 8201924 3101 41536 13440 0 30 0
1778905326.876209475	cpu5 115953 25099 109164 8640851 633 10887 3586 0 20 0
1778905326.876209475	cpu6 118613 22149 112781 8578483 607 33821 41371 0 21 0
1778905326.876209475	cpu7 69586 12898 48486 8783059 509 3752 901 0 31 0
1778905328.066348616	cpu  1575918 389818 2231052 65941538 18305 622721 185672 0 534 0
1778905328.066348616	cpu0 278439 84441 526167 7569407 3655 309828 42932 0 109 0
1778905328.066348616	cpu1 310125 84268 495417 7728388 3748 144370 30288 0 94 0
1778905328.066348616	cpu2 222956 54437 305409 8218988 3085 39360 28894 0 102 0
1778905328.066348616	cpu3 224590 52695 310987 8220242 2963 39159 24255 0 124 0
1778905328.066348616	cpu4 235576 53829 322511 8201982 3101 41538 13441 0 30 0
1778905328.066348616	cpu5 115980 25099 109211 8640889 633 10888 3586 0 20 0
1778905328.066348616	cpu6 118637 22149 112822 8578531 607 33822 41372 0 21 0
1778905328.066348616	cpu7 69611 12898 48525 8783106 509 3753 901 0 31 0
1778905329.230119581	cpu  1576022 389818 2231289 65942115 18305 622733 185679 0 534 0
1778905329.230119581	cpu0 278465 84441 526226 7569435 3655 309832 42933 0 109 0
1778905329.230119581	cpu1 310144 84268 495479 7728419 3748 144372 30289 0 94 0
1778905329.230119581	cpu2 222965 54437 305423 8219080 3085 39361 28896 0 102 0
1778905329.230119581	cpu3 224608 52695 311018 8220308 2963 39161 24255 0 124 0
1778905329.230119581	cpu4 235585 53829 322528 8202071 3101 41539 13441 0 30 0
1778905329.230119581	cpu5 115983 25099 109220 8640994 633 10888 3587 0 20 0
1778905329.230119581	cpu6 118645 22149 112846 8578614 607 33823 41373 0 21 0
