1778905326.871976923	lo	2152017532	511990	2152017532	511990
1778905326.871976923	dummy0	0	0	2380	34
1778905326.871976923	ifb0	0	0	0	0
1778905326.871976923	ifb1	0	0	0	0
1778905326.871976923	tunl0	0	0	0	0
1778905326.871976923	gre0	0	0	0	0
1778905326.871976923	gretap0	0	0	0	0
1778905326.871976923	erspan0	0	0	0	0
1778905326.871976923	ip_vti0	0	0	0	0
1778905326.871976923	ip6_vti0	0	0	0	0
1778905326.871976923	sit0	0	0	0	0
1778905326.871976923	ip6tnl0	0	0	0	0
1778905326.871976923	ip6gre0	0	0	0	0
1778905326.871976923	rmnet0	0	0	0	0
1778905326.871976923	rmnet1	0	0	0	0
1778905326.871976923	rmnet2	0	0	0	0
1778905326.871976923	rmnet3	0	0	0	0
1778905326.871976923	rmnet4	0	0	0	0
1778905326.871976923	rmnet5	0	0	0	0
1778905326.871976923	rmnet6	0	0	0	0
1778905326.871976923	rmnet7	0	0	0	0
1778905326.871976923	rmnet8	0	0	0	0
1778905326.871976923	rmnet9	0	0	0	0
1778905326.871976923	rmnet10	0	0	0	0
1778905326.871976923	rmnet11	0	0	0	0
1778905326.871976923	rmnet12	0	0	0	0
1778905326.871976923	rmnet13	0	0	0	0
1778905326.871976923	rmnet14	0	0	0	0
1778905326.871976923	rmnet15	0	0	0	0
1778905326.871976923	rmnet16	0	0	0	0
1778905326.871976923	rmnet17	0	0	0	0
1778905326.871976923	rmnet18	0	0	0	0
1778905326.871976923	rmnet19	0	0	0	0
1778905326.871976923	rmnet20	0	0	0	0
1778905326.871976923	rmnet21	0	0	0	0
1778905326.871976923	rmnet22	0	0	0	0
1778905326.871976923	rmnet23	0	0	0	0
1778905326.871976923	rmnet24	0	0	0	0
1778905326.871976923	rmnet25	0	0	0	0
1778905326.871976923	rmnet26	0	0	0	0
1778905326.871976923	rmnet27	0	0	0	0
1778905326.871976923	rmnet28	0	0	0	0
1778905326.871976923	rmnet29	0	0	0	0
1778905326.871976923	umts_dummy	0	0	0	0
1778905326.871976923	aware_nmi0	0	0	0	0
1778905326.871976923	wlan0	7121803803	6059676	1257197325	2890414
1778905326.871976923	wlan1	0	0	0	0
1778905326.871976923	radiotap0	0	0	0	0
1778905328.090043929	lo	2152017532	511990	2152017532	511990
1778905328.090043929	dummy0	0	0	2380	34
1778905328.090043929	ifb0	0	0	0	0
1778905328.090043929	ifb1	0	0	0	0
1778905328.090043929	tunl0	0	0	0	0
1778905328.090043929	gre0	0	0	0	0
1778905328.090043929	gretap0	0	0	0	0
1778905328.090043929	erspan0	0	0	0	0
1778905328.090043929	ip_vti0	0	0	0	0
1778905328.090043929	ip6_vti0	0	0	0	0
1778905328.090043929	sit0	0	0	0	0
1778905328.090043929	ip6tnl0	0	0	0	0
1778905328.090043929	ip6gre0	0	0	0	0
1778905328.090043929	rmnet0	0	0	0	0
1778905328.090043929	rmnet1	0	0	0	0
1778905328.090043929	rmnet2	0	0	0	0
1778905328.090043929	rmnet3	0	0	0	0
1778905328.090043929	rmnet4	0	0	0	0
1778905328.090043929	rmnet5	0	0	0	0
1778905328.090043929	rmnet6	0	0	0	0
1778905328.090043929	rmnet7	0	0	0	0
1778905328.090043929	rmnet8	0	0	0	0
1778905328.090043929	rmnet9	0	0	0	0
1778905328.090043929	rmnet10	0	0	0	0
1778905328.090043929	rmnet11	0	0	0	0
1778905328.090043929	rmnet12	0	0	0	0
1778905328.090043929	rmnet13	0	0	0	0
1778905328.090043929	rmnet14	0	0	0	0
1778905328.090043929	rmnet15	0	0	0	0
1778905328.090043929	rmnet16	0	0	0	0
1778905328.090043929	rmnet17	0	0	0	0
1778905328.090043929	rmnet18	0	0	0	0
1778905328.090043929	rmnet19	0	0	0	0
1778905328.090043929	rmnet20	0	0	0	0
1778905328.090043929	rmnet21	0	0	0	0
1778905328.090043929	rmnet22	0	0	0	0
1778905328.090043929	rmnet23	0	0	0	0
1778905328.090043929	rmnet24	0	0	0	0
1778905328.090043929	rmnet25	0	0	0	0
1778905328.090043929	rmnet26	0	0	0	0
1778905328.090043929	rmnet27	0	0	0	0
1778905328.090043929	rmnet28	0	0	0	0
1778905328.090043929	rmnet29	0	0	0	0
1778905328.090043929	umts_dummy	0	0	0	0
1778905328.090043929	aware_nmi0	0	0	0	0
1778905328.090043929	wlan0	7121804040	6059680	1257197913	2890420
1778905328.090043929	wlan1	0	0	0	0
1778905328.090043929	radiotap0	0	0	0	0
